"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"4.622.932.679,92";"387.592.528,15";"122.302.223,15";"319.026.046,95";
"04/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"384.688.042,95";"424.875.511,32";"428.983.914,56";"21.236.458,57";
"06/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"32.302.136,99";"529.854.116,18";"413.336.512,87";"11.897.214,14";
"05/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"31.466.707,37";"427.845.712,93";"432.356.402,83";"21.731.748,47";
"08/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"332.571.129,31";"442.094.985,16";"431.632.350,81";"25.771.390,97";
"09/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"79.205.707,52";"12.466.701,73";"287.446.155,18";"14.500.166,46";
"07/2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"73.404.695,91";"439.033.639,90";"551.320.518,22";"17.569.352,18";
"03/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"8.407.625,35";"74.156,94";"74.156,94";"0,00";
"02/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"93.390,36";"220.884,81";"220.884,81";"0,00";
"06/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"35.998.042,82";"53.438.039,01";"53.438.039,01";"0,00";
"09/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"0,00";"38.328.381,96";"38.328.381,96";"0,00";
"05/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"145.488.078,03";"122.844.247,45";"122.844.247,45";"0,00";
"04/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"20.458.700,55";"28.481.167,74";"28.481.167,74";"0,00";
"07/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"27.173.265,45";"3.852.527,56";"3.852.527,56";"0,00";
"01/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"232.565,94";"36.473,73";"36.473,73";"2.038.684,98";
"08/2022";"39000 - Ministério da Infraestrutura";"49901 - Departamento do Fundo da Marinha Mercante";"63.500.267,68";"49.388.759,33";"49.388.759,33";"0,00";
"07/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"153.099.546,21";"472.205.579,39";"472.138.349,19";"146.776.332,68";
"05/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.884.824.219,48";"525.871.014,92";"531.924.818,64";"242.930.757,92";
"02/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"313.082.355,36";"91.724.105,71";"90.990.587,58";"461.665.688,06";
"04/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"2.836.446.558,21";"312.983.091,83";"366.381.531,40";"354.365.456,87";
"01/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"624.458.565,49";"59.617.123,07";"18.636.678,12";"372.064.669,17";
"09/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"55.335.650,62";"108.432.206,90";"81.585.445,21";"45.413.799,91";
"08/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"- 258.430.011,81";"693.949.266,38";"687.512.831,51";"105.756.702,84";
"03/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"589.809.779,42";"204.975.891,07";"132.839.455,87";"342.315.540,20";
"06/2022";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"242.192.709,95";"466.629.013,35";"448.147.866,81";"207.458.195,42";
"09/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"302.014,50";"13.315.214,02";"47.522.576,17";"17.550.270,29";
"03/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"59.771.440,43";"54.716.199,17";"57.188.433,07";"42.137.162,46";
"07/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"48.656.874,01";"66.102.891,41";"86.321.191,03";"26.846.277,71";
"06/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"144.719.467,72";"79.301.494,07";"57.718.166,31";"99.829.721,04";
"02/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"60.813.475,66";"55.590.153,87";"50.191.194,27";"38.870.332,46";
"05/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"124.427.846,36";"59.551.673,06";"62.567.791,93";"33.216.214,08";
"08/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"57.858.849,50";"64.766.971,75";"62.829.398,39";"26.277.786,24";
"04/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"73.262.829,61";"55.973.218,49";"52.539.424,62";"22.642.256,33";
"01/2022";"53000 - Ministério do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"49.973.374,73";"49.356.697,72";"5.792.782,38";"55.118.992,58";
"03/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"75.415.291,05";"36.017.741,43";"44.004.175,98";"747.675,28";
"07/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"48.114.843,33";"44.511.099,85";"46.663.521,92";"3.990.217,43";
"04/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"21.723.012,74";"41.546.644,73";"45.196.558,08";"1.982.819,82";
"05/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"19.022.601,75";"43.601.731,19";"43.017.751,35";"1.985.302,53";
"02/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"27.636.542,41";"44.037.464,16";"44.285.534,52";"4.749.234,79";
"06/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"21.025.559,38";"41.821.178,96";"41.668.529,97";"1.014.127,46";
"09/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"- 56.554,60";"1.976.574,80";"23.305.102,50";"1.093.184,32";
"01/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"253.168.105,24";"31.846.966,46";"3.031.808,13";"25.622.158,22";
"08/2022";"41000 - Ministério das Comunicações";"20415 - Empresa Brasil de Comunicação";"1.964.413,82";"44.055.064,94";"44.027.678,07";"3.277.808,36";
"08/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"26.951.260,10";"270.523.220,53";"252.100.234,89";"17.464.618,05";
"01/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"3.105.539.344,85";"251.808.532,99";"27.355.178,36";"226.790.176,96";
"03/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"16.127.254,84";"260.098.423,85";"249.541.599,02";"33.691.464,56";
"07/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"5.532.663,16";"239.585.656,34";"308.048.563,40";"21.914.276,18";
"04/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"50.756.470,50";"257.571.204,62";"289.782.811,03";"51.489.562,67";
"02/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"6.005.521,67";"245.420.456,21";"226.983.310,99";"21.015.471,18";
"06/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"17.935.936,78";"317.980.761,51";"275.093.704,96";"16.190.233,46";
"09/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"9.171.213,63";"4.945.973,86";"169.792.679,88";"8.257.076,84";
"05/2022";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"102.132.912,42";"273.974.501,13";"265.969.869,90";"18.726.653,45";
"04/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"307.214.585,63";"603.592.939,07";"586.951.512,31";"48.652.866,26";
"08/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"240.205.173,34";"652.743.969,11";"669.360.178,08";"26.566.966,74";
"03/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"252.974.344,85";"589.794.997,00";"570.958.062,81";"98.703.235,03";
"07/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"242.260.827,73";"584.673.960,50";"798.755.925,84";"23.793.731,08";
"05/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"242.350.838,86";"675.618.404,06";"653.056.649,31";"54.664.306,26";
"06/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"270.097.496,24";"772.016.217,12";"637.924.457,61";"44.801.372,50";
"01/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"5.557.029.258,34";"366.607.212,59";"76.827.882,66";"586.269.647,52";
"02/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"161.844.576,99";"503.738.164,72";"487.288.832,82";"145.923.028,40";
"09/2022";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"25.631.739,61";"52.442.220,27";"337.984.019,91";"7.995.465,36";
"08/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"930.560,82";"8.182.951,61";"8.049.872,08";"5.177,46";
"01/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"102.364.643,77";"7.239.461,79";"995.167,78";"6.201.074,63";
"09/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 8.757,54";"544.733,33";"5.443.271,73";"11.822,54";
"05/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"521.269,71";"8.409.718,71";"8.323.176,02";"162.734,79";
"07/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1.724.110,90";"9.584.967,29";"11.034.020,62";"531.901,20";
"02/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 5.816.041,26";"8.740.348,90";"7.702.782,49";"2.553.247,11";
"06/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 140.431,83";"12.593.678,91";"8.219.639,07";"754.136,23";
"04/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"17.215.606,49";"6.746.399,99";"8.279.986,78";"1.316.205,19";
"03/2022";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"19.945,98";"8.036.664,55";"8.139.010,83";"1.366.847,80";
"09/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"61.607,72";"172.041,72";"3.785.779,45";"1.118.473,26";
"02/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"- 2.757.183,72";"3.528.623,98";"3.307.656,37";"705.227,02";
"04/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"32.983.582,20";"4.207.721,57";"4.290.433,64";"1.741.229,67";
"05/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"3.354.554,51";"5.864.677,94";"5.603.535,88";"1.283.285,70";
"07/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"5.272.609,03";"5.548.741,75";"6.454.592,37";"3.917.893,14";
"06/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"596.214,30";"6.040.522,20";"5.685.345,95";"902.286,11";
"01/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"42.877.381,64";"2.664.839,03";"425.410,25";"3.279.704,12";
"08/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"8.664,27";"9.240.029,35";"7.811.913,44";"618.168,86";
"03/2022";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"1.326.567,07";"4.270.281,41";"4.092.611,53";"7.618.034,43";
"08/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"27.124.142,82";"24.898.317,03";"27.493.006,15";"2.592.625,19";
"04/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"25.208.541,57";"21.905.509,76";"21.291.471,46";"5.708.945,48";
"02/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"16.685.280,86";"15.762.967,96";"15.434.912,30";"8.661.988,54";
"01/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"16.266.086,04";"14.997.724,88";"4.778.114,48";"15.074.537,60";
"05/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"23.681.429,77";"25.150.619,71";"24.377.674,88";"2.634.952,07";
"06/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"28.915.215,08";"28.643.997,32";"25.861.016,28";"1.657.919,83";
"09/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"5.681.699,75";"3.041.252,91";"11.156.903,76";"19.959,64";
"03/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"20.337.479,01";"21.154.838,78";"16.461.660,41";"7.229.015,98";
"07/2022";"53000 - Ministério do Desenvolvimento Regional";"29205 - Empresa de Trens Urbanos de Porto Alegre";"23.730.662,30";"25.516.723,11";"25.050.878,98";"842.435,23";
"05/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"26.698,74";"26.698,74";"26.698,74";"0,00";
"08/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"286.398,11";"286.398,11";"286.398,11";"0,00";
"04/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"27.578,47";"27.578,47";"27.578,47";"0,00";
"03/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"39.845,48";"39.845,48";"39.845,48";"0,00";
"06/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"71.774,55";"71.774,55";"71.774,55";"0,00";
"02/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"45.168,99";"45.168,99";"45.168,99";"0,00";
"07/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20502 - Financiadora de Estudos e Projetos";"135.348,74";"135.348,74";"135.348,74";"0,00";
"07/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"18.714,08";"986.809,63";"1.127.401,73";"0,00";
"08/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"- 105.795,56";"917.406,84";"890.517,31";"0,00";
"06/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"2.995.372,43";"1.051.241,19";"924.848,34";"0,00";
"09/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"31.820,86";"66.497,23";"488.521,32";"0,00";
"01/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"9.791.574,05";"599.997,51";"193.821,80";"630.896,20";
"03/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"54.181,83";"917.213,63";"876.922,05";"25.891,81";
"05/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"31.866,50";"1.018.666,91";"1.018.050,85";"11.243,00";
"02/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"- 1.274.457,55";"825.512,24";"829.376,27";"3.155,00";
"04/2022";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"946.000,00";"969.561,10";"1.003.446,61";"0,00";
"01/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"73.372.467,04";"5.473.433,76";"1.306.013,91";"5.181.158,67";
"07/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"250.916,85";"7.730.823,85";"9.662.672,43";"138.346,82";
"06/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"2.856.660,32";"10.326.431,34";"8.373.862,96";"177.218,80";
"04/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"21.717.786,87";"8.223.394,59";"8.266.540,41";"332.941,65";
"09/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"162.449,69";"210.581,17";"4.340.016,71";"5.682,60";
"02/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"2.295.907,84";"6.840.862,06";"6.816.369,14";"538.282,91";
"05/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"- 1.035.078,30";"7.287.651,95";"7.223.756,10";"714.545,58";
"08/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"35.712,66";"7.793.840,86";"7.840.452,45";"443.643,98";
"03/2022";"54000 - Ministério do Turismo";"20404 - Fundação Biblioteca Nacional";"427.689,91";"6.823.301,37";"6.880.146,84";"840.781,87";
"06/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"1.415.256,97";"4.683.476,87";"3.603.004,89";"248.885,00";
"09/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"431.426,34";"185.298,84";"2.309.503,57";"206,00";
"01/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"40.441.011,17";"3.091.074,34";"887.516,43";"2.805.018,35";
"08/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"- 115.506,35";"3.427.839,42";"3.440.797,86";"0,00";
"04/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"954.106,76";"3.511.308,44";"3.488.792,49";"2.400,29";
"07/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"773.346,68";"3.497.273,44";"4.569.599,57";"56.620,60";
"03/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"1.048.235,00";"3.608.497,77";"3.624.947,42";"72.699,00";
"02/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"- 73.995,47";"3.138.860,44";"3.162.245,74";"120.623,71";
"05/2022";"54000 - Ministério do Turismo";"20403 - Fundação Casa de Rui Barbosa";"966.194,37";"3.430.318,07";"3.483.681,33";"36.662,37";
"08/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"136.043.732,41";"289.675.695,37";"297.963.393,44";"4.035.359,27";
"01/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"205.319.386,51";"116.952.020,77";"2.828.759,50";"44.593.745,11";
"03/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"123.614.819,32";"200.537.912,66";"200.485.187,72";"19.026.538,41";
"07/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"87.361.995,93";"258.792.729,67";"223.908.651,41";"2.337.999,08";
"05/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"- 84.795.376,00";"457.859.632,50";"425.257.505,59";"19.286.880,67";
"04/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"2.445.983.085,72";"245.444.234,75";"243.988.786,57";"8.543.483,58";
"02/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"283.791.233,05";"66.357.318,57";"175.383.841,43";"82.825.674,13";
"06/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"15.574.614,47";"384.033.271,98";"282.106.512,83";"15.118.289,79";
"09/2022";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"12.349.909,49";"20.420.270,94";"185.494.593,23";"311.788,40";
"09/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"202.178,82";"118.018,23";"593.334,62";"0,00";
"07/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"3.039.771,04";"1.171.639,46";"1.401.281,61";"84.737,32";
"02/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"1.124.313,19";"988.108,69";"985.744,37";"73.897,03";
"05/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"3.873.169,03";"1.354.320,75";"1.349.821,79";"104.385,98";
"08/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"131.356,72";"1.352.834,35";"1.330.982,18";"348,00";
"06/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"572.857,01";"1.245.466,33";"1.053.486,60";"974.454,96";
"01/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"8.457.986,77";"722.412,05";"238.066,81";"1.437.225,13";
"03/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"391.408,27";"1.278.029,42";"1.210.392,70";"337.301,80";
"04/2022";"54000 - Ministério do Turismo";"20408 - Fundação Cultural Palmares";"528.134,33";"1.199.767,14";"1.264.274,54";"1.925.070,00";
"01/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"47.026.158,26";"3.794.464,72";"971.633,40";"5.367.435,68";
"06/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"2.585.692,69";"5.645.840,08";"4.882.144,62";"2.697.641,97";
"02/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"796.151,13";"3.861.147,07";"3.851.898,19";"2.329.363,36";
"03/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"1.827.983,91";"4.074.262,03";"4.048.583,78";"3.084.292,30";
"04/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"2.481.466,14";"4.265.783,02";"4.363.943,80";"1.525.845,29";
"08/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"4.564.494,39";"5.925.904,24";"5.895.585,04";"444.264,25";
"09/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"- 310.809,33";"327.760,17";"3.078.135,94";"1.100.125,11";
"05/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"4.357.093,38";"5.146.814,47";"4.872.518,62";"2.744.290,65";
"07/2022";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"2.583.541,54";"5.505.559,64";"6.540.493,56";"2.699.769,09";
"05/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"1.854.595.904,72";"204.061.343,97";"198.456.283,42";"5.261.353,16";
"04/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"551.417.372,94";"211.826.202,47";"211.950.818,81";"13.454.058,67";
"02/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"28.367.168,30";"190.701.001,96";"186.683.183,54";"6.512.393,29";
"06/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"46.355.250,09";"361.201.038,45";"230.025.839,21";"9.399.410,91";
"09/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"253.655,98";"60.190.860,28";"270.349.404,12";"290.624,97";
"03/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"249.267.306,30";"193.225.701,79";"195.029.725,91";"7.360.823,43";
"07/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"162.759.247,85";"274.650.934,10";"344.745.307,04";"986.721,46";
"01/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"429.275.343,16";"178.508.431,73";"38.858.124,97";"164.962.642,44";
"08/2022";"25000 - Ministério da Economia";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"196.661.087,91";"334.920.841,73";"338.923.260,30";"6.324.392,49";
"07/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"254.439,25";"10.330.130,00";"13.349.369,84";"24.708,42";
"01/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"110.033.735,90";"8.106.466,93";"2.216.630,05";"8.337.857,53";
"02/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"161.913,29";"9.208.526,01";"8.425.571,60";"1.060.282,08";
"09/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"371.386,98";"524.007,46";"6.756.460,56";"75.609,77";
"04/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"17.984.534,29";"9.609.537,99";"9.261.577,91";"249.467,85";
"08/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"- 1.062.096,12";"10.363.810,98";"10.013.837,83";"30.474,53";
"03/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"692.504,65";"9.810.393,44";"9.646.479,27";"1.343.040,31";
"05/2022";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"1.426.358,12";"10.645.380,65";"10.825.350,93";"436.509,10";
